"bsn","volgnummer","nationaliteit","reden-opname","reden-einde","bijzonder","eu-nummer","gemeente-doc","datum-doc","beschrijving-doc","onderzoek-ind","onderzoek-ingang","onderzoek-einde","onjuist-ind","geldig-ingang","opname-datum","volledig-conv","rni-deelnemer","verdrag-oms"
"999990251",1,"Nederlandse","","","","","","","","","","","","","","","",""
"999990263",1,"Nederlandse","","","","","","","","","","","","","","","",""
"999990275",1,"Nederlandse","","","","","","","","","","","","","","","",""
"999990287",1,"Nederlandse","","","","","","","","","","","","","","","",""
"999990299",1,"Nederlandse","","","","","","","","","","","","","","","",""
"999990299",2,"Surinaamse","","","","","","","","","","","","","","","",""
"999990305",1,"Nederlandse","","","","","","","","","","","","","","","",""
"999990317",1,"Nederlandse","","","","","","","","","","","","","","","",""
"999990317",2,"Turkse","","","","","","","","","","","","","","","",""
"999990329",1,"Nederlandse","","","","","","","","","","","","","","","",""
"999990330",1,"Surinaamse","","","","","","","","","","","","","","","",""
"999990330",2,"Indonesische","","","","","","","","","","","","","","","",""
"999990330",3,"Nederlandse","","","","","","","","","","","","","","","",""
"999990342",1,"Nederlandse","","","","","","","","","","","","","","","",""
