"bsn","gemeente","datum","land","datum-vestiging","geheim","verificatie-datum","verificatie-oms","versienummer","datumtijd","volledig-conv","rni-deelnemer","verdrag-oms"
"999990251","001","19990110","","",false,"","","","","","",""
"999990263","001","20111021","","",false,"","","","","","",""
"999990275","001","20110911","","",false,"","","","","","",""
"999990287","001","2007","","",false,"","","","","","",""
"999990299","001","200509","","",false,"","","","","","",""
"999990305","001","19800101","","",false,"","","","","","",""
"999990317","001","19960508","","",false,"","","","","","",""
"999990329","001","19760328","","",false,"","","","","","",""
"999990330","001","20080710","","",false,"","","","","","",""
"999990342","002","20240131","","",true,"","","","","","",""
