"bsn","functie","gemeentedeel","aanvang","straatnaam","openbaar","huisnummer","huisletter","toevoeging","aanduiding","postcode","woonplaats","plaats-code","nummer-code","beschrijving","land","aanvang-buitenland","regel1","regel2","regel3","einddatum","type","adreshouding","indicatie-doc","onderzoek-ind","onderzoek-ingang","onderzoek-einde","onjuist-ind","geldig-ingang","opname-datum","rni-deelnemer","verdrag-oms"
"999990251","","","","Brink","","1","","rood","","1111AA","Utrecht","","","","","","","","","","","","","","","","","","","",""
"999990263","","","","Dorpsstraat","","2","","II","","1111BB","Amsterdam","","","","","","","","","","","","","","","","","","","",""
"999990275","","","","Dorpslaan","","3","C","","","1111CC","Groningen","","","","","","","","","","","","","","","","","","","",""
"999990287","","","","Uiteinde","","4","","","","1111DD","Rotterdam","","","","","","","","","","","","","","","","","","","",""
"999990299","","","","Kerkstraat","","5","","","","1111EE","Utrecht","","","","","","","","","","","","","","","","","","","",""
"999990305","","","","Kerklaan","","6","","","","1111FF","Groningen","","","","","","","","","","","","","","","","","","","",""
"999990317","","","","Nieuwe Kerkstraat","","7","B","","1111GG","Rotterdam","","","","","","","","","","","","","","","","","","","","",""
"999990329","","","","Dorpsstraat","","8","","3de verdieping","","1111HH","Utrecht","","","","","","","","","","","","","","","","","","","",""
"999990330","","","","Zomerlaan","","9","","","","1111II","Amsterdam","","","","","","","","","","","","","","","","","","","",""
"999990342","","","","Winterlaan","","101","A","","","1111JJ","Amsterdam","","","","","","","","","","","","","","","","","","","",""
