"bsn","telefoon","tel-ind","tel-geldig","email","email-ind","email-geldig","rni-deelnemer","verdrag-oms"
"999990251","555-1234","","","piet@bel.com","","","",""
"999990263","555-9911","","","","","","",""
"999990275","","","","jan@microsoft.nl","","","",""
"999990287","","","","","","","",""
"999990299","555-1212","","","","","","",""
"999990305","","","","piet@amazon.nu","","","",""
"999990317","555-9876","","","","","","",""
"999990329","","","","","","","",""
"999990330","","","","mies@bel.nu","","","",""
"999990342","","","","","","","",""
