"bsn","gemeente","datum","land","datum-vestiging","geheim","verificatie-datum","verificatie-oms","versienummer","datumtijd","volledig-conv","rni-deelnemer","verdrag-oms"
"999990251","0001","19990110","","","","","","","","","",""
"999990263","0002","20111021","","","","","","","","","",""
"999990275","0002","20110911","","","","","","","","","",""
"999990287","0004","2007","","","","","","","","","",""
"999990299","0005","200509","","","","","","","","","",""
"999990305","0004","19800101","","","","","","","","","",""
"999990317","0007","19960508","","","","","","","","","",""
"999990329","0005","19760328","","","","","","","","","",""
"999990330","0009","20080710","","","","","","","","","",""
"999990342","0004","20240131","","","","","","","","","",""
