"bsn","volgnummer","nationaliteit","reden-opname","reden-einde","bijzonder","eu-nummer","gemeente-doc","datum-doc","beschrijving-doc","onderzoek-ind","onderzoek-ingang","onderzoek-einde","onjuist-ind","geldig-ingang","opname-datum","volledig-conv","rni-deelnemer","verdrag-oms"
"999990251",1,"","","","","","","","","","","","","","","","",""
"999990263",1,"","","","","","","","","","","","","","","","",""
"999990275",1,"","","","","","","","","","","","","","","","",""
"999990287",1,"","","","","","","","","","","","","","","","",""
"999990299",2,"","","","","","","","","","","","","","","","",""
"999990305",1,"","","","","","","","","","","","","","","","",""
"999990317",2,"","","","","","","","","","","","","","","","",""
"999990329",1,"","","","","","","","","","","","","","","","",""
"999990330",3,"","","","","","","","","","","","","","","","",""
"999990342",1,"","","","","","","","","","","","","","","","",""
