"a-nummer","bsn","voornamen","titel","voorvoegsel","geslachtsnaam","geboortedatum","geboorteplaats","geboorteland","geslacht","vorig-nummer","volgend-nummer","naamgebruik","register-gemeente","aktenummer","gemeente-doc","datum-doc","beschrijving-doc","onderzoek-ind","onderzoek-ingang","onderzoek-einde","onjuist-ind","geldig-ingang","opname-datum","verdrag-oms"
"5258209652","999990251","Pieter Koen","","","Wezichem","19541216","Maastricht","Nederland","M","","","","","","","","","","","","","","",""
"2560428584","999990263","Gerrit","","","Bommels","19890430","Utrecht","Nederland","M","","","","","","","","","","","","","","",""
"2385919430","999990275","Amaria","","de","Bont","20010309","Kootwijkerbroek","Nederland","V","","","","","","","","","","","","","","",""
"5373791659","999990287","Ursula","","","Koenders-van Zanten","19930130","Lunteren","Nederland","V","","","","","","","","","","","","","","",""
"1683796130","999990299","Koen Pieter Janus","","den","Ouden","19480600","Den Haag","Nederland","M","","","","","","","","","","","","","","",""
"4789356148","999990305","Gert","","","Mechelenberg","19771210","Gent","Belgie","O","","","","","","","","","","","","","","",""
"7476026165","999990317","Ursunanda","","","Danounie","19860000","","Zambia","V","","","","","","","","","","","","","","",""
"3203798327","999990329","Piet Jan Koen","","van","Zanten","19640822","Urk","Nederland","M","","","","","","","","","","","","","","",""
"6075914959","999990330","Pieter","","","Bommel","19881010","Vlissingen","Nederland","M","","","","","","","","","","","","","","",""
"9230497091","999990342","Amarinda","","la","Mechelle","20190611","Parijs","Frankrijk","V","","","","","","","","","","","","","","",""
